Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
TraxErrorHandler.getMessage( TransformerException exception );4;3;14
TraxErrorHandler.TraxErrorHandler( Logger logger );1;0;3
TraxErrorHandler.warning( TransformerException exception );2;1;11
TraxErrorHandler.error( TransformerException exception );2;1;11
TraxErrorHandler.fatalError( TransformerException exception );2;1;16
