Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
XMLSerializer.configure( Configuration conf );2;0;10
XMLSerializer.setup( SourceResolver resolver , Map objectModel , String src , Parameters par );1;0;3
XMLSerializer.shouldSetContentLength( );1;0;3
