Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
ConsoleDocument.getLines( );5;5;14
ConsoleLine.ConsoleLine( String line , int type );1;0;4
ConsoleDocument.clear( );1;0;6
ConsoleDocument.ConsoleDocument( );1;0;2
ConsoleDocument.isEmpty( );1;1;3
ConsoleDocument.appendConsoleLine( int type , String line );5;6;16
