File;Method Name;Z-score
spring-beans/src/main/java/org/springframework/beans/CachedIntrospectionResults.java;CachedIntrospectionResults.CachedIntrospectionResults( Class < ? > beanClass );2.6601223397691967
spring-beans/src/main/java/org/springframework/beans/PropertyAccessorUtils.java;PropertyAccessorUtils.canonicalPropertyName( @ Nullable String propertyName );3.257539279044208
spring-beans/src/main/java/org/springframework/beans/PropertyDescriptorUtils.java;PropertyDescriptorUtils.determineBasicProperties( Class < ? > beanClass );3.058400299285871
spring-beans/src/main/java/org/springframework/beans/PropertyDescriptorUtils.java;PropertyDescriptorUtils.findIndexedPropertyType( String name , @ Nullable Class < ? > propertyType , @ Nullable Method indexedReadMethod , @ Nullable Method indexedWriteMethod );2.0627054004941843
spring-beans/src/main/java/org/springframework/beans/PropertyMatches.java;PropertyMatches.calculateStringDistance( String s1 , String s2 );3.4566782588025458
spring-beans/src/main/java/org/springframework/beans/factory/config/FieldRetrievingFactoryBean.java;FieldRetrievingFactoryBean.afterPropertiesSet( );2.6601223397691967
spring-beans/src/main/java/org/springframework/beans/factory/support/DisposableBeanAdapter.java;DisposableBeanAdapter.DisposableBeanAdapter( Object bean , String beanName , RootBeanDefinition beanDefinition , List < DestructionAwareBeanPostProcessor > postProcessors );3.058400299285871
spring-beans/src/main/java/org/springframework/beans/propertyeditors/CustomBooleanEditor.java;CustomBooleanEditor.setAsText( @ Nullable String text );2.859261319527534
spring-context-support/src/main/java/org/springframework/mail/javamail/JavaMailSenderImpl.java;JavaMailSenderImpl.doSend( MimeMessage [ ] mimeMessages , @ Nullable Object [ ] originalMessages );2.6601223397691967
spring-context-support/src/main/java/org/springframework/scheduling/quartz/SchedulerAccessor.java;SchedulerAccessor.addTriggerToScheduler( Trigger trigger );2.859261319527534
spring-context/src/main/java/org/springframework/context/annotation/AnnotationConfigUtils.java;AnnotationConfigUtils.registerAnnotationConfigProcessors( BeanDefinitionRegistry registry , @ Nullable Object source );2.0627054004941847
spring-context/src/main/java/org/springframework/context/annotation/ConfigurationClassUtils.java;ConfigurationClassUtils.checkConfigurationClassCandidate( BeanDefinition beanDef , MetadataReaderFactory metadataReaderFactory );2.2618443802525223
spring-context/src/main/java/org/springframework/format/datetime/DateFormatter.java;DateFormatter.createDateFormat( Locale locale );2.0627054004941847
spring-context/src/main/java/org/springframework/jmx/export/assembler/AbstractReflectiveMBeanInfoAssembler.java;AbstractReflectiveMBeanInfoAssembler.getAttributeInfo( Object managedBean , String beanKey );2.2618443802525223
spring-context/src/main/java/org/springframework/jndi/JndiObjectFactoryBean.java;JndiObjectFactoryBean.afterPropertiesSet( );2.0627054004941847
spring-context/src/main/java/org/springframework/validation/beanvalidation/LocalValidatorFactoryBean.java;LocalValidatorFactoryBean.afterPropertiesSet( );2.0627054004941847
spring-core/src/main/java/org/springframework/asm/AnnotationVisitor.java;AnnotationVisitor.AnnotationVisitor( final int api , final AnnotationVisitor annotationVisitor );2.0627054004941847
spring-core/src/main/java/org/springframework/asm/ByteVector.java;ByteVector.encodeUtf8( final String stringValue , final int offset , final int maxByteLength );8.236013773002638
spring-core/src/main/java/org/springframework/asm/ByteVector.java;ByteVector.putLong( final long longValue );2.859261319527534
spring-core/src/main/java/org/springframework/asm/ByteVector.java;ByteVector.putUTF8( final String stringValue );2.2618443802525223
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.ClassReader( final byte [ ] classFileBuffer , final int classFileOffset , final boolean checkClassVersion );2.2618443802525223
