File;Method Name;Average; Distance From Mean
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringOverScroller.java;SpringOverScroller.isFinished( );1;-9.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringOverScroller.java;SpringOverScroller.springBack( int startX , int startY , int minX , int maxX , int minY , int maxY );14;3.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.addView( View child );4;-6.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.addView( View child , ViewGroup . LayoutParams params );4;-6.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.addView( View child , int index );4;-6.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.addView( View child , int index , ViewGroup . LayoutParams params );4;-6.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.arrowScroll( int direction );24;13.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.canScroll( );6;-4.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.computeScroll( );13;2.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.computeScrollDeltaToGetChildRectOnScreen( Rect rect );22;11.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.computeVerticalScrollRange( );12;1.2548969942586972
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.dispatchKeyEvent( KeyEvent event );1;-9.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.doScrollY( int delta );6;-4.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.executeKeyEvent( KeyEvent event );24;13.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.findFocusableViewInBounds( boolean topFocus , int top , int bottom );23;12.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.fling( int velocityY );7;-3.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.fullScroll( int direction );12;1.2548969942586972
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.getMaxScrollAmount( );2;-8.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.getScrollRange( );7;-3.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.inChild( int x , int y );6;-4.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.initOrResetVelocityTracker( );5;-5.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.initVelocityTrackerIfNotExists( );3;-7.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.invalidateParentIfNeeded( );2;-8.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.isOffScreen( View descendant );2;-8.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.isViewDescendantOf( View child , View parent );4;-6.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.isWithinDeltaOfScreen( View descendant , int delta , int height );4;-6.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.measureChild( View child , int parentWidthMeasureSpec , int parentHeightMeasureSpec );8;-2.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.measureChildWithMargins( View child , int parentWidthMeasureSpec , int widthUsed , int parentHeightMeasureSpec , int heightUsed );8;-2.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onInitializeAccessibilityEvent( AccessibilityEvent event );9;-1.7451030057413028
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onInitializeAccessibilityNodeInfo( AccessibilityNodeInfo info );11;0.25489699425869716
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onInterceptTouchEvent( MotionEvent ev );47;36.2548969942587
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onLayout( boolean changed , int l , int t , int r , int b );15;4.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onMeasure( int widthMeasureSpec , int heightMeasureSpec );19;8.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onOverScrolled( int scrollX , int scrollY , boolean clampedX , boolean clampedY );13;2.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onRequestFocusInDescendants( int direction , Rect previouslyFocusedRect );12;1.2548969942586972
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onRestoreInstanceState( Parcelable state );8;-2.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onSaveInstanceState( );7;-3.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onSecondaryPointerUp( MotionEvent ev );9;-1.7451030057413028
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onSizeChanged( int w , int h , int oldw , int oldh );8;-2.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.onTouchEvent( MotionEvent ev );70;59.2548969942587
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.overScrollBy( int deltaX , int deltaY , int scrollX , int scrollY , int scrollRangeX , int scrollRangeY , int maxOverScrollX , int maxOverScrollY , boolean isTouchEvent );26;15.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.pageScroll( int direction );16;5.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.performAccessibilityAction( int action , Bundle arguments );20;9.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.recycleVelocityTracker( );4;-6.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.requestChildFocus( View child , View focused );6;-4.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.requestChildRectangleOnScreen( View child , Rect rectangle , boolean immediate );4;-6.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.scrollAndFocus( int direction , int top , int bottom );13;2.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.scrollTo( int x , int y );3;-7.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.scrollToChild( View child );6;-4.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.scrollToChildRect( Rect rect , boolean immediate );9;-1.7451030057413028
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.setFillViewport( boolean fillViewport );4;-6.745103005741303
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.smoothScrollBy( int dx , int dy );17;6.254896994258697
rebound-android-playground/src/main/java/com/facebook/rebound/playground/examples/scrollview/SpringScrollView.java;SpringScrollView.smoothScrollTo( int x , int y );2;-8.745103005741303
rebound-android/src/main/java/com/facebook/rebound/AndroidSpringLooperFactory.java;AndroidSpringLooperFactory.createSpringLooper( );5;-5.745103005741303
rebound-android/src/main/java/com/facebook/rebound/AndroidSpringLooperFactory.java;ChoreographerAndroidSpringLooper.doFrame( long frameTimeNanos );6;-4.745103005741303
rebound-android/src/main/java/com/facebook/rebound/AndroidSpringLooperFactory.java;LegacyAndroidSpringLooper.run( );6;-4.745103005741303
rebound-android/src/main/java/com/facebook/rebound/AnimationQueue.java;AnimationQueue.onFrame( long frameTimeNanos );20;9.254896994258697
rebound-android/src/main/java/com/facebook/rebound/AnimationQueue.java;AnimationQueue.runIfIdle( );4;-6.745103005741303
rebound-android/src/main/java/com/facebook/rebound/ChoreographerCompat.java;ChoreographerCompat.postFrameCallbackDelayed( FrameCallback callbackWrapper , long delayMillis );5;-5.745103005741303
rebound-android/src/main/java/com/facebook/rebound/ChoreographerCompat.java;FrameCallback.getFrameCallback( );9;-1.7451030057413028
rebound-android/src/main/java/com/facebook/rebound/ChoreographerCompat.java;FrameCallback.getRunnable( );9;-1.7451030057413028
rebound-android/src/main/java/com/facebook/rebound/SpringChain.java;SpringChain.SpringChain( int mainTension , int mainFriction , int attachmentTension , int attachmentFriction );6;-4.745103005741303
rebound-android/src/main/java/com/facebook/rebound/SpringChain.java;SpringChain.onSpringUpdate( Spring spring );13;2.254896994258697
rebound-android/src/main/java/com/facebook/rebound/SpringChain.java;SpringChain.setControlSpringIndex( int i );9;-1.7451030057413028
rebound-android/src/main/java/com/facebook/rebound/ui/SpringConfiguratorView.java;OnNubTouchListener.onTouch( View view , MotionEvent motionEvent );4;-6.745103005741303
rebound-android/src/main/java/com/facebook/rebound/ui/SpringConfiguratorView.java;RevealerSpringListener.onSpringUpdate( Spring spring );7;-3.745103005741303
rebound-android/src/main/java/com/facebook/rebound/ui/SpringConfiguratorView.java;SeekbarListener.onProgressChanged( SeekBar seekBar , int val , boolean b );15;4.254896994258697
rebound-android/src/main/java/com/facebook/rebound/ui/SpringConfiguratorView.java;SpinnerAdapter.getView( int position , View convertView , ViewGroup parent );15;4.254896994258697
rebound-android/src/main/java/com/facebook/rebound/ui/SpringConfiguratorView.java;SpringConfiguratorView.destroy( );5;-5.745103005741303
rebound-android/src/main/java/com/facebook/rebound/ui/SpringConfiguratorView.java;SpringConfiguratorView.generateHierarchy( Context context );78;67.2548969942587
rebound-android/src/main/java/com/facebook/rebound/ui/SpringConfiguratorView.java;SpringConfiguratorView.refreshSpringConfigurations( );14;3.254896994258697
rebound-android/src/main/java/com/facebook/rebound/ui/SpringConfiguratorView.java;SpringConfiguratorView.togglePosition( );3;-7.745103005741303
