File;Method Name;Average; Distance From Mean
spring-aop/src/main/java/org/springframework/aop/framework/ProxyProcessorSupport.java;ProxyProcessorSupport.isConfigurationCallbackInterface( Class < ? > ifc );2.0;1.7494376060494985
spring-beans/src/main/java/org/springframework/beans/support/PagedListHolder.java;PagedListHolder.getPageCount( );1.25;0.9994376060494985
spring-beans/src/test/java/org/springframework/beans/AbstractPropertyAccessorTests.java;AbstractPropertyAccessorTests.setAsText( String text );1.3333333333333333;1.0827709393828318
spring-context/src/main/java/org/springframework/jmx/support/JmxUtils.java;JmxUtils.isMBean( @ Nullable Class < ? > clazz );1.2;0.9494376060494985
spring-context/src/test/java/org/springframework/aop/framework/AbstractAopProxyTests.java;AbstractAopProxyTests.matches( Method m , @ Nullable Class < ? > targetClass );3.0;2.7494376060494985
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.getFirstAttributeOffset( );1.1363636363636365;0.885801242413135
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.readInt( final int offset );1.8571428571428572;1.6065804631923557
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.readShort( final int offset );1.25;0.9994376060494985
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.readUnsignedShort( final int offset );1.25;0.9994376060494985
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.readUtf( final int utfOffset , final int utfLength , final char [ ] charBuffer );1.1363636363636365;0.885801242413135
spring-core/src/main/java/org/springframework/asm/Handle.java;Handle.toString( );2.0;1.7494376060494985
spring-core/src/main/java/org/springframework/asm/ModuleWriter.java;ModuleWriter.getAttributeCount( );1.3333333333333333;1.0827709393828318
spring-core/src/main/java/org/springframework/asm/SymbolTable.java;SymbolTable.hash( final int tag , final String value1 , final String value2 , final String value3 );1.3333333333333333;1.0827709393828318
spring-core/src/main/java/org/springframework/asm/SymbolTable.java;SymbolTable.hash( final int tag , final String value1 , final String value2 , final String value3 , final int value4 );1.6666666666666667;1.4161042727161652
spring-core/src/main/java/org/springframework/asm/SymbolTable.java;SymbolTable.hash( final int tag , final String value1 , final String value2 , final int value3 );1.6666666666666667;1.4161042727161652
