File;Method Name;Z-score
spring-beans/src/main/java/org/springframework/beans/CachedIntrospectionResults.java;CachedIntrospectionResults.CachedIntrospectionResults( Class < ? > beanClass );2.4505802163681003
spring-beans/src/main/java/org/springframework/beans/PropertyDescriptorUtils.java;PropertyDescriptorUtils.determineBasicProperties( Class < ? > beanClass );2.4505802163681003
spring-beans/src/main/java/org/springframework/beans/PropertyDescriptorUtils.java;PropertyDescriptorUtils.findIndexedPropertyType( String name , @ Nullable Class < ? > propertyType , @ Nullable Method indexedReadMethod , @ Nullable Method indexedWriteMethod );2.0102025700894166
spring-beans/src/main/java/org/springframework/beans/factory/support/DisposableBeanAdapter.java;DisposableBeanAdapter.destroy( );2.0102025700894166
spring-beans/src/main/java/org/springframework/beans/propertyeditors/CustomBooleanEditor.java;CustomBooleanEditor.setAsText( @ Nullable String text );2.1569951188489775
spring-context-support/src/main/java/org/springframework/mail/javamail/JavaMailSenderImpl.java;JavaMailSenderImpl.doSend( MimeMessage [ ] mimeMessages , @ Nullable Object [ ] originalMessages );2.303787667608539
spring-context-support/src/main/java/org/springframework/scheduling/quartz/SchedulerAccessor.java;SchedulerAccessor.addTriggerToScheduler( Trigger trigger );2.1569951188489775
spring-context/src/main/java/org/springframework/context/annotation/ConfigurationClassUtils.java;ConfigurationClassUtils.checkConfigurationClassCandidate( BeanDefinition beanDef , MetadataReaderFactory metadataReaderFactory );2.303787667608539
spring-context/src/main/java/org/springframework/scheduling/annotation/ScheduledAnnotationBeanPostProcessor.java;ScheduledAnnotationBeanPostProcessor.finishRegistration( );2.1569951188489775
spring-context/src/main/java/org/springframework/scheduling/config/ScheduledTasksBeanDefinitionParser.java;ScheduledTasksBeanDefinitionParser.doParse( Element element , ParserContext parserContext , BeanDefinitionBuilder builder );2.0102025700894166
spring-context/src/main/java/org/springframework/validation/beanvalidation/LocalValidatorFactoryBean.java;LocalValidatorFactoryBean.afterPropertiesSet( );2.0102025700894166
spring-core/src/main/java/org/springframework/asm/AnnotationWriter.java;AnnotationWriter.visit( final String name , final Object value );3.3313355089254686
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.ClassReader( final byte [ ] classFileBuffer , final int classFileOffset , final boolean checkClassVersion );3.0377504114063454
