File;Method Name;Z-score
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.readModuleAttributes( final ClassVisitor classVisitor , final Context context , final int moduleOffset , final int modulePackagesOffset , final String moduleMainClass );-8.27089035641709
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.readStackMapFrame( final int stackMapFrameOffset , final boolean compressed , final boolean expand , final Context context );-4.094162730695378
spring-core/src/main/java/org/springframework/asm/ClassReader.java;ClassReader.readUtf( final int utfOffset , final int utfLength , final char [ ] charBuffer );-5.322612032378234
spring-core/src/main/java/org/springframework/asm/FieldWriter.java;FieldWriter.putFieldInfo( final ByteVector output );-2.865713429012521
spring-core/src/main/java/org/springframework/asm/Frame.java;Frame.accept( final MethodWriter methodWriter );-3.8484728703588065
spring-core/src/main/java/org/springframework/asm/Frame.java;Frame.getAbstractTypeFromDescriptor( final SymbolTable symbolTable , final String buffer , final int offset );2.2937736380554763
spring-core/src/main/java/org/springframework/asm/Frame.java;Frame.getConcreteOutputType( final int abstractOutputType , final int numStack );-3.111403289349093
spring-core/src/main/java/org/springframework/asm/Frame.java;Frame.getInitializedType( final SymbolTable symbolTable , final int abstractType );-3.111403289349093
spring-core/src/main/java/org/springframework/asm/Frame.java;Frame.merge( final SymbolTable symbolTable , final Frame dstFrame , final int catchTypeIndex );-3.111403289349093
spring-core/src/main/java/org/springframework/asm/Frame.java;Frame.merge( final SymbolTable symbolTable , final int sourceType , final int [ ] dstTypes , final int dstIndex );-8.27089035641709
spring-core/src/main/java/org/springframework/asm/Frame.java;Frame.setInputFrameFromApiFormat( final SymbolTable symbolTable , final int numLocal , final Object [ ] local , final int numStack , final Object [ ] stack );-3.111403289349093
spring-core/src/main/java/org/springframework/asm/Label.java;Label.resolve( final byte [ ] code , final int bytecodeOffset );-4.339852591031949
spring-core/src/main/java/org/springframework/asm/MethodWriter.java;MethodWriter.canCopyMethodAttributes( final ClassReader source , final boolean hasSyntheticAttribute , final boolean hasDeprecatedAttribute , final int descriptorIndex , final int signatureIndex , final int exceptionsOffset );-2.62002356867595
spring-core/src/main/java/org/springframework/asm/MethodWriter.java;MethodWriter.computeAllFrames( );-2.1286438480028074
spring-core/src/main/java/org/springframework/asm/MethodWriter.java;MethodWriter.computeMethodInfoSize( );-6.551061334061091
spring-core/src/main/java/org/springframework/asm/MethodWriter.java;MethodWriter.putFrame( );-3.111403289349093
spring-core/src/main/java/org/springframework/asm/MethodWriter.java;MethodWriter.visitFieldInsn( final int opcode , final String owner , final String name , final String descriptor );-2.1286438480028074
spring-core/src/main/java/org/springframework/asm/MethodWriter.java;MethodWriter.visitJumpInsn( final int opcode , final Label label );-4.339852591031949
