File;Method Name;Average; Distance
buildSrc/src/main/java/org/springframework/build/api/ApiDiffPlugin.java;ApiDiffPlugin.apply( Project project );0.2857142857142857;0.15342024000700386 
spring-aop/src/main/java/org/springframework/aop/framework/ProxyProcessorSupport.java;ProxyProcessorSupport.isConfigurationCallbackInterface( Class < ? > ifc );0.75;0.6177059542927181 
spring-aop/src/main/java/org/springframework/aop/framework/autoproxy/AutoProxyUtils.java;AutoProxyUtils.determineTargetClass( ConfigurableListableBeanFactory beanFactory , @ Nullable String beanName );0.3076923076923077;0.17539826198502587 
spring-aop/src/main/java/org/springframework/aop/framework/autoproxy/BeanNameAutoProxyCreator.java;BeanNameAutoProxyCreator.isSupportedBeanName( Class < ? > beanClass , String beanName );0.2692307692307692;0.13693672352348737 
spring-aop/src/main/java/org/springframework/aop/interceptor/AbstractMonitoringInterceptor.java;AbstractMonitoringInterceptor.setPrefix( @ Nullable String prefix );0.3333333333333333;0.20103928762605147 
spring-aop/src/main/java/org/springframework/aop/interceptor/AbstractMonitoringInterceptor.java;AbstractMonitoringInterceptor.setSuffix( @ Nullable String suffix );0.3333333333333333;0.20103928762605147 
spring-aop/src/main/java/org/springframework/aop/support/DefaultBeanFactoryPointcutAdvisor.java;DefaultBeanFactoryPointcutAdvisor.setPointcut( @ Nullable Pointcut pointcut );0.3333333333333333;0.20103928762605147 
spring-aop/src/main/java/org/springframework/aop/support/DefaultBeanFactoryPointcutAdvisor.java;DefaultBeanFactoryPointcutAdvisor.toString( );0.3333333333333333;0.20103928762605147 
spring-aop/src/main/java/org/springframework/aop/support/DefaultPointcutAdvisor.java;DefaultPointcutAdvisor.setPointcut( @ Nullable Pointcut pointcut );0.3333333333333333;0.20103928762605147 
spring-aop/src/main/java/org/springframework/aop/support/DefaultPointcutAdvisor.java;DefaultPointcutAdvisor.toString( );0.3333333333333333;0.20103928762605147 
spring-aop/src/main/java/org/springframework/aop/support/IntroductionInfoSupport.java;IntroductionInfoSupport.implementsInterface( Class < ? > ifc );0.5;0.36770595429271813 
spring-aop/src/main/java/org/springframework/aop/target/AbstractBeanFactoryBasedTargetSource.java;AbstractBeanFactoryBasedTargetSource.hashCode( );0.5;0.36770595429271813 
spring-aop/src/main/java/org/springframework/aop/target/AbstractLazyCreationTargetSource.java;AbstractLazyCreationTargetSource.getTargetClass( );0.3333333333333333;0.20103928762605147 
spring-aop/src/main/java/org/springframework/aop/target/CommonsPool2TargetSource.java;CommonsPool2TargetSource.getActiveCount( );0.3333333333333333;0.20103928762605147 
spring-aop/src/main/java/org/springframework/aop/target/CommonsPool2TargetSource.java;CommonsPool2TargetSource.getIdleCount( );0.3333333333333333;0.20103928762605147 
spring-aop/src/testFixtures/java/org/springframework/aop/testfixture/advice/MethodCounter.java;MethodCounter.equals( Object other );0.3333333333333333;0.20103928762605147 
spring-aspects/src/test/java/org/springframework/cache/config/AnnotatedJCacheableService.java;AnnotatedJCacheableService.earlyRemoveAll( );0.8333333333333334;0.7010392876260515 
spring-beans/src/main/java/org/springframework/beans/PropertyAccessException.java;PropertyAccessException.getPropertyName( );0.3333333333333333;0.20103928762605147 
spring-beans/src/main/java/org/springframework/beans/PropertyAccessException.java;PropertyAccessException.getValue( );0.3333333333333333;0.20103928762605147 
spring-beans/src/main/java/org/springframework/beans/PropertyAccessorUtils.java;PropertyAccessorUtils.canonicalPropertyName( @ Nullable String propertyName );0.4;0.26770595429271815 
