Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
PublicationUtil.getPublicationFromUrl( ServiceManager manager , DocumentFactory factory , String webappUrl );1;0;5
PublicationUtil.getPublication( ServiceManager manager , Map objectModel );1;0;3
PublicationUtil.isValidArea( String area );2;2;3
PublicationUtil.isValidPublicationID( String id );1;0;3
PublicationUtil.getPublication( ServiceManager manager , Request request );2;0;11
PublicationUtil.getPublications( ServiceManager manager , DocumentFactory factory );3;1;13
