File,Method Name,Cyclomatic Complexity,Source Lines of Code,Mutant Density
3rdparty/ittnotify/src/ittnotify/ittnotify_config.h, __itt_interlocked_increment, 0, 4, 4
3rdparty/openjpeg/openjp2/bio.c, opj_bio_numbytes, 0, 4, 4
3rdparty/openjpeg/openjp2/bio.c, opj_bio_init_enc, 0, 8, 4
3rdparty/openjpeg/openjp2/bio.c, opj_bio_init_dec, 0, 8, 4
3rdparty/openjpeg/openjp2/cio.c, opj_write_bytes_BE, 1, 8, 8
3rdparty/openjpeg/openjp2/cio.c, opj_write_bytes_LE, 2, 10, 8
3rdparty/openjpeg/openjp2/cio.c, opj_read_bytes_BE, 1, 8, 8
3rdparty/openjpeg/openjp2/cio.c, opj_read_bytes_LE, 2, 11, 8
3rdparty/openjpeg/openjp2/cio.c, opj_write_double_LE, 1, 9, 8
3rdparty/openjpeg/openjp2/cio.c, opj_read_double_LE, 1, 8, 8
3rdparty/openjpeg/openjp2/cio.c, opj_write_float_LE, 1, 9, 8
3rdparty/openjpeg/openjp2/cio.c, opj_read_float_LE, 1, 8, 8
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_data, 5, 34, 4
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_skip, 9, 51, 12
3rdparty/openjpeg/openjp2/cio.c, opj_stream_get_number_byte_left, 1, 8, 4
3rdparty/openjpeg/openjp2/function_list.c, opj_procedure_list_add_procedure, 2, 27, 4
3rdparty/openjpeg/openjp2/image.c, opj_image_create, 6, 42, 24
3rdparty/openjpeg/openjp2/invert.c, opj_lupSolve, 4, 46, 48
3rdparty/openjpeg/openjp2/invert.c, opj_lupInvert, 2, 24, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_check_poc_val, 11, 65, 36
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_calculate_tp, 2, 35, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_siz, 4, 72, 20
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_com, 3, 46, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_cod, 5, 59, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_coc, 4, 37, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_coc_in_memory, 1, 39, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_max_coc_size, 2, 15, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcd, 5, 48, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcc, 4, 37, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcc_in_memory, 1, 35, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_poc, 4, 46, 20
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_poc_in_memory, 2, 67, 24
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_max_poc_size, 1, 15, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_max_toc_size, 1, 14, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_specific_header_sizes, 3, 31, 20
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_ppm, 7, 56, 24
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_tlm, 3, 45, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_sot, 37, 224, 40
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_sod, 11, 91, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_sod, 13, 104, 48
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_rgn, 2, 49, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_tp_stride, 0, 4, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_rates, 20, 126, 146
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_unk, 7, 48, 4
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mct_record, 3, 50, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mcc_record, 8, 90, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_mcc, 31, 188, 60
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mco, 4, 50, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_mct, 11, 64, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_cbd, 4, 48, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_default_thread_count, 6, 23, 8
