Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
IntStack.print( );4;5;18
IntStack.elementAt( int depth );1;0;3
IntStack.clear( );1;0;3
IntStack.ensureCapacity( int size );3;3;10
IntStack.size( );1;0;3
IntStack.push( int value );1;2;4
IntStack.pop( );1;1;3
IntStack.peek( );1;1;3
