File;Method Name;Mutant Density
ansible/cli/doc;DocCLI.format_plugin_doc;3
ansible/cli/doc;DocCLI._indent_lines;1
ansible/cli/doc;DocCLI._format_version_added;7
ansible/cli/doc;DocCLI.add_fields;43
ansible/cli/doc;DocCLI.get_role_man_text;22
ansible/cli/doc;DocCLI._display_role_doc;1
ansible/cli/doc;DocCLI.namespace_from_plugin_filepath;5
ansible/cli/doc;RoleMixin._find_all_normal_roles;10
ansible/cli/doc;RoleMixin._find_all_collection_roles;12
ansible/cli/doc;DocCLI._get_collection_filter;7
ansible/cli/doc;DocCLI.print_paths;2
ansible/cli/doc;RoleMixin._build_summary;2
ansible/cli/doc;RoleMixin._build_doc;7
ansible/cli/doc;DocCLI._list_plugins;4
ansible/cli/doc;DocCLI._combine_plugin_doc;4
ansible/cli/doc;DocCLI.format_snippet;7
ansible/cli/doc;find_plugins;1
ansible/cli/doc;tty_ify;1
ansible/cli/doc;_list_keywords;1
ansible/cli/doc;_get_keywords_docs;1
ansible/cli/doc;_prep_loader;1
ansible/cli/doc;get_all_plugins_of_type;1
ansible/cli/doc;get_plugin_metadata;1
ansible/cli/doc;namespace_from_plugin_filepath;1
ansible/cli/doc;_combine_plugin_doc;1
ansible/cli/doc;format_snippet;1
ansible/cli/doc;format_plugin_doc;1
ansible/cli/doc;print_paths;1
ansible/cli/doc;_dump_yaml;1
ansible/cli/doc;_indent_lines;1
ansible/cli/doc;_format_version_added;1
ansible/cli/doc;add_fields;1
ansible/cli/doc;get_man_text;1
ansible/cli/doc;__init__;3
ansible/cli/doc;init_parser;3
ansible/cli/doc;post_process_args;2
ansible/cli/doc;run;3
ansible/cli/galaxy;GalaxyCLI.init_parser;1
ansible/cli/galaxy;GalaxyCLI.run;15
ansible/cli/galaxy;GalaxyCLI._parse_requirements_file;17
ansible/cli/galaxy;GalaxyCLI._display_role_info;12
ansible/cli/galaxy;GalaxyCLI.execute_build;4
ansible/cli/galaxy;GalaxyCLI.execute_init;38
ansible/cli/galaxy;GalaxyCLI.execute_info;23
ansible/cli/galaxy;GalaxyCLI.execute_install;28
ansible/cli/galaxy;GalaxyCLI._execute_install_collection;8
ansible/cli/galaxy;GalaxyCLI._execute_install_role;54
ansible/cli/galaxy;GalaxyCLI.execute_remove;7
ansible/cli/galaxy;GalaxyCLI.execute_list_role;21
ansible/cli/galaxy;GalaxyCLI.execute_search;21
ansible/cli/galaxy;GalaxyCLI.execute_import;21
ansible/cli/galaxy;GalaxyCLI.execute_setup;7
ansible/cli/galaxy;GalaxyCLI.execute_delete;4
ansible/cli/galaxy;RoleDistributionServer.api;9
ansible/cli/galaxy;GalaxyCLI.execute_list_collection;27
ansible/cli/galaxy;GalaxyCLI.__init__;12
ansible/cli/galaxy;GalaxyCLI.post_process_args;2
ansible/cli/galaxy;GalaxyCLI._init_coll_req_dict;8
ansible/cli/galaxy;GalaxyCLI.exit_without_ignore;2
ansible/cli/galaxy;GalaxyCLI._get_skeleton_galaxy_yml;8
ansible/cli/galaxy;GalaxyCLI._require_one_of_collections_requirements;8
ansible/cli/galaxy;GalaxyCLI.execute_download;3
ansible/cli/galaxy;GalaxyCLI.execute_verify;3
ansible/cli/galaxy;GalaxyCLI.add_init_options;6
ansible/cli/galaxy;GalaxyCLI.add_list_options;4
ansible/cli/galaxy;GalaxyCLI.add_install_options;8
ansible/cli/galaxy;GalaxyCLI.execute_list;4
ansible/cli/galaxy;api;2
ansible/cli/galaxy;exit_without_ignore;1
ansible/cli/galaxy;_display_role_info;1
ansible/cli/galaxy;_resolve_path;1
ansible/cli/galaxy;_get_skeleton_galaxy_yml;1
ansible/cli/galaxy;execute_download;1
ansible/cli/galaxy;execute_verify;1
ansible/cli/galaxy;execute_install;1
ansible/cli/galaxy;execute_list_collection;1
ansible/cli/galaxy;__init__;3
ansible/cli/galaxy;init_parser;3
ansible/cli/galaxy;post_process_args;2
ansible/cli/galaxy;run;3
ansible/cli/inventory;InventoryCLI.run;12
ansible/cli/inventory;InventoryCLI.dump;9
ansible/cli/inventory;InventoryCLI._show_vars;1
ansible/cli/inventory;InventoryCLI._graph_name;6
ansible/cli/inventory;InventoryCLI._graph_group;7
ansible/cli/inventory;InventoryCLI.post_process_args;8
ansible/cli/inventory;InventoryCLI._remove_empty_keys;4
ansible/cli/inventory;InventoryCLI._get_group_variables;3
ansible/cli/inventory;InventoryCLI._get_host_variables;2
ansible/cli/inventory;InventoryCLI._remove_internal;2
ansible/cli/inventory;InventoryCLI.inventory_graph;1
ansible/cli/inventory;InventoryCLI.json_inventory;1
ansible/cli/inventory;dump;1
ansible/cli/inventory;_remove_internal;1
