File;Method Name;MD;SLOC;Mean;Std
src/main/java/com/alibaba/fastjson/JSONPath.java;JSONPath.isInt( Class < ? > clazzA );7;3;1.5133333333333334;1.1035498277025022
src/main/java/com/alibaba/fastjson/JSONPath.java;JSONPathParser.isDigitFirst( char ch );7;3;1.5133333333333334;1.1035498277025022
src/main/java/com/alibaba/fastjson/JSONPath.java;JSONPathParser.skipWhitespace( );13;10;2.2829827915869982;1.9448016442944336
src/main/java/com/alibaba/fastjson/JSONPath.java;RangeSegment.eval( JSONPath path , Object rootObject , Object currentObject );13;15;2.834507042253521;2.1206744135440183
src/main/java/com/alibaba/fastjson/JSONValidator.java;JSONValidator.isWhiteSpace( char ch );11;9;2.1883830455259026;1.7954215426346263
src/main/java/com/alibaba/fastjson/asm/ClassReader.java;ClassReader.getAttributes( );24;17;3.5267857142857144;3.036856402799528
src/main/java/com/alibaba/fastjson/asm/ClassReader.java;ClassReader.readInt( final int index );13;5;1.6013824884792627;1.2745643246842675
src/main/java/com/alibaba/fastjson/asm/MethodWriter.java;MethodWriter.visitVarInsn( final int opcode , final int var );13;15;2.834507042253521;2.1206744135440183
src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java;JSONLexerBase.isRef( );12;9;2.1883830455259026;1.7954215426346263
src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java;JSONLexerBase.isWhitespace( char ch );13;9;2.1883830455259026;1.7954215426346263
src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java;JSONLexerBase.nextTokenWithChar( char expect );12;15;2.834507042253521;2.1206744135440183
src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java;JSONLexerBase.scanBoolean( char expectNext );44;51;9.4;6.343500610861483
src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java;JSONLexerBase.scanFieldIntArray( char [ ] fieldName );54;93;12.5;3.5
src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java;JSONLexerBase.scanTrue( );27;34;5.607142857142857;5.205349485414607
src/main/java/com/alibaba/fastjson/parser/JSONReaderScanner.java;JSONReaderScanner.decimalValue( );15;15;2.834507042253521;2.1206744135440183
src/main/java/com/alibaba/fastjson/parser/JSONReaderScanner.java;JSONReaderScanner.isEOF( );9;3;1.5133333333333334;1.1035498277025022
src/main/java/com/alibaba/fastjson/parser/JSONReaderScanner.java;JSONReaderScanner.numberString( );14;13;2.910614525139665;2.4626481549762675
src/main/java/com/alibaba/fastjson/parser/JSONScanner.java;JSONScanner.bytesValue( );20;23;4.427184466019417;3.2756884453828947
src/main/java/com/alibaba/fastjson/parser/JSONScanner.java;JSONScanner.isEOF( );6;3;1.5133333333333334;1.1035498277025022
src/main/java/com/alibaba/fastjson/parser/JSONScanner.java;JSONScanner.numberString( );12;8;2.0117340286831813;1.6962626276257633
src/main/java/com/alibaba/fastjson/parser/JSONScanner.java;JSONScanner.scanInt( char expectNext );44;99;3.230769230769231;8.565169594206223
src/main/java/com/alibaba/fastjson/parser/JSONScanner.java;JSONScanner.setCalendar( char y0 , char y1 , char y2 , char y3 , char M0 , char M1 , char d0 , char d1 );19;9;2.1883830455259026;1.7954215426346263
src/main/java/com/alibaba/fastjson/parser/JSONScanner.java;JSONScanner.setTime( char h0 , char h1 , char m0 , char m1 , char s0 , char s1 );12;8;2.0117340286831813;1.6962626276257633
src/main/java/com/alibaba/fastjson/parser/JSONScanner.java;JSONScanner.setTimeZone( char timeZoneFlag , char t0 , char t1 , char t3 , char t4 );16;10;2.2829827915869982;1.9448016442944336
src/main/java/com/alibaba/fastjson/parser/ParserConfig.java;ParserConfig.isPrimitive2( final Class < ? > clazz );27;21;4.666666666666667;4.238897730336741
src/main/java/com/alibaba/fastjson/parser/deserializer/Jdk8DateCodec.java;Jdk8DateCodec.parseDateTime( String text , DateTimeFormatter formatter );61;99;3.230769230769231;8.565169594206223
src/main/java/com/alibaba/fastjson/serializer/JSONSerializer.java;JSONSerializer.checkValue( SerializeFilterable filterable );16;7;2.090144230769231;1.7362921862752714
