Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
HTMLSerializer.startElementImpl( String nsuri , String local , String qual , String namespaces [ ] [ ] , String attributes [ ] [ ] );8;9;27
HTMLSerializer.encode( char data [ ] , int start , int length );2;1;7
HTMLSerializer.HTMLSerializer( );1;0;3
HTMLSerializer.checkNamespace( String nsuri );3;1;5
HTMLSerializer.configure( Configuration conf );6;0;17
HTMLSerializer.endElementImpl( String nsuri , String local , String qual );17;2;26
HTMLSerializer.body( String nsuri , String local , String qual );7;3;21
HTMLSerializer.head( );1;0;2
