Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
HttpUtils.isXml( String contentType );1;0;3
HttpUtils.bodyAllowed( int status );5;7;8
HttpUtils.isText( String contentType );1;0;3
