Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
BoxRenderer.getRendersChildren( );1;0;3
BoxRenderer.encodeEnd( FacesContext facesContext , UIComponent component );1;0;4
BoxRenderer.encodeBegin( FacesContext facesContext , UIComponent component );1;4;26
