Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
UIPanelBase.invokeOnComponent( FacesContext context , String clientId , ContextCallback callback );1;0;3
UIPanelBase.processDecodes( FacesContext context );13;12;22
UIPanelBase.encodeAjax( FacesContext facesContext );7;8;13
UIPanelBase.encodeChildren( FacesContext facesContext );2;0;5
