File;Method Name;CC;SLOC;Mean;Std
spring-aspects/src/test/java/org/springframework/cache/config/AnnotatedJCacheableService.java;AnnotatedJCacheableService.earlyRemoveAll( );6;6;2.1810490693739424;0.8545961629056792
spring-beans/src/main/java/org/springframework/beans/PropertyDescriptorUtils.java;PropertyDescriptorUtils.equals( PropertyDescriptor pd , PropertyDescriptor otherPd );6;7;2.251346499102334;0.8629741588189993
spring-beans/src/main/java/org/springframework/beans/propertyeditors/CustomBooleanEditor.java;CustomBooleanEditor.setAsText( @ Nullable String text );18;25;5.958904109589041;2.925740071060273
spring-context-support/src/test/java/org/springframework/cache/jcache/interceptor/AnnotatedJCacheableService.java;AnnotatedJCacheableService.earlyRemoveAll( );6;6;2.1810490693739424;0.8545961629056792
spring-core/src/main/java/org/springframework/util/xml/AbstractXMLStreamReader.java;AbstractXMLStreamReader.nextTag( );10;12;3.4603174603174605;1.5204990495019743
spring-expression/src/main/java/org/springframework/expression/spel/standard/Token.java;Token.isNumericRelationalOperator( );6;4;1.9042904290429044;0.8544668544887788
spring-jdbc/src/test/java/org/springframework/jdbc/datasource/DataSourceTransactionManagerTests.java;DataSourceTransactionManagerTests.doTestTransactionCommitRestoringAutoCommit( boolean autoCommit , boolean lazyConnection , final boolean createStatement );11;56;18.125;1.7633419974582356
spring-jdbc/src/test/java/org/springframework/jdbc/support/JdbcTransactionManagerTests.java;JdbcTransactionManagerTests.doTestParticipatingTransactionWithRollbackOnly( boolean failEarly );5;56;18.125;1.7633419974582356
spring-messaging/src/test/java/org/springframework/messaging/handler/annotation/MessagingPredicates.java;HeaderPredicate.test( MethodParameter parameter );7;7;2.251346499102334;0.8629741588189993
spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/init/ScriptUtils.java;ScriptUtils.splitSqlScript( EncodedResource resource , String script , String separator , String [ ] commentPrefixes , String blockCommentStartDelimiter , String blockCommentEndDelimiter );24;78;13.0;0.816496580927726
spring-web/src/main/java/org/springframework/web/multipart/support/MultipartResolutionDelegate.java;MultipartResolutionDelegate.isMultipartArgument( MethodParameter parameter );7;6;2.1810490693739424;0.8545961629056792
spring-web/src/test/java/org/springframework/web/util/pattern/PathPatternTests.java;PathPatternTests.patternComparatorSort( );2;78;13.0;0.816496580927726
spring-webmvc/src/main/java/org/springframework/web/servlet/config/ScriptTemplateConfigurerBeanDefinitionParser.java;ScriptTemplateConfigurerBeanDefinitionParser.isEligibleAttribute( String name );7;5;2.0453857791225416;0.7939240015019403
spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ServletRequestMethodArgumentResolver.java;ServletRequestMethodArgumentResolver.supportsParameter( MethodParameter parameter );15;15;3.610576923076923;1.8494499322163733
spring-webmvc/src/test/java/org/springframework/web/servlet/config/MvcNamespaceTests.java;MvcNamespaceTests.testDefaultConfig( );6;63;15.666666666666666;1.699673171197595
spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/ServletAnnotationControllerHandlerMethodTests.java;EntityPredicate.accept( E entity );6;5;2.0453857791225416;0.7939240015019403
spring-websocket/src/main/java/org/springframework/web/socket/sockjs/frame/AbstractSockJsMessageCodec.java;AbstractSockJsMessageCodec.isSockJsSpecialChar( char ch );10;5;2.0453857791225416;0.7939240015019403
