Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
SortedTermVectorMapper.SortedTermVectorMapper( boolean ignoringPositions , boolean ignoringOffsets , Comparator comparator );1;0;4
SortedTermVectorMapper.map( String term , int frequency , TermVectorOffsetInfo [ ] offsets , int [ ] positions );18;26;42
SortedTermVectorMapper.getTermVectorEntrySet( );1;0;3
SortedTermVectorMapper.SortedTermVectorMapper( Comparator comparator );1;0;3
SortedTermVectorMapper.setExpectations( String field , int numTerms , boolean storeOffsets , boolean storePositions );1;0;4
