Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
AbstractSubscriptionRegistry.findSubscriptions( Message < ? > message );4;2;15
AbstractSubscriptionRegistry.registerSubscription( Message < ? > message );8;4;29
AbstractSubscriptionRegistry.unregisterSubscription( Message < ? > message );6;3;22
