Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
PDFName.output( OutputStream stream );3;0;13
PDFName.toHex( char ch , StringBuffer sb );2;4;8
PDFName.toString( );1;0;3
PDFName.outputInline( OutputStream out , Writer writer );2;0;7
PDFName.PDFName( String name );1;0;4
PDFName.escapeName( String name );5;7;16
