File;Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
src/main/java/io/socket/backo/Backoff.java;Backoff.Backoff( );1;0;1
src/main/java/io/socket/backo/Backoff.java;Backoff.duration( );3;5;15
src/main/java/io/socket/backo/Backoff.java;Backoff.getAttempts( );1;0;3
src/main/java/io/socket/backo/Backoff.java;Backoff.reset( );1;0;3
src/main/java/io/socket/backo/Backoff.java;Backoff.setFactor( int factor );1;0;4
src/main/java/io/socket/backo/Backoff.java;Backoff.setJitter( double jitter );3;4;8
src/main/java/io/socket/backo/Backoff.java;Backoff.setMax( long max );1;0;4
src/main/java/io/socket/backo/Backoff.java;Backoff.setMin( long min );1;0;4
src/main/java/io/socket/client/AckWithTimeout.java;AckWithTimeout.AckWithTimeout( long timeout );1;0;3
src/main/java/io/socket/client/AckWithTimeout.java;AckWithTimeout.call( Object ... args );1;0;4
src/main/java/io/socket/client/AckWithTimeout.java;AckWithTimeout.cancelTimer( );1;0;3
src/main/java/io/socket/client/AckWithTimeout.java;AckWithTimeout.schedule( TimerTask task );1;0;3
src/main/java/io/socket/client/IO.java;IO.IO( );1;0;1
src/main/java/io/socket/client/IO.java;IO.setDefaultOkHttpCallFactory( Call . Factory factory );1;0;3
src/main/java/io/socket/client/IO.java;IO.setDefaultOkHttpWebSocketFactory( WebSocket . Factory factory );1;0;3
src/main/java/io/socket/client/IO.java;IO.socket( String uri );1;0;3
src/main/java/io/socket/client/IO.java;IO.socket( String uri , Options opts );1;0;3
src/main/java/io/socket/client/IO.java;IO.socket( URI uri );1;0;3
src/main/java/io/socket/client/IO.java;IO.socket( URI uri , Options opts );12;10;31
src/main/java/io/socket/client/IO.java;Options.builder( );1;0;3
src/main/java/io/socket/client/Manager.java;Engine.Engine( URI uri , Options opts );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.Manager( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.Manager( Options opts );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.Manager( URI uri );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.Manager( URI uri , Options opts );11;10;33
src/main/java/io/socket/client/Manager.java;Manager.call( Exception err );2;1;11
src/main/java/io/socket/client/Manager.java;Manager.call( Object ... args );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.call( Object ... objects );2;3;4
src/main/java/io/socket/client/Manager.java;Manager.call( Object [ ] encodedPackets );4;0;11
src/main/java/io/socket/client/Manager.java;Manager.call( Packet packet );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.cleanup( );2;1;9
src/main/java/io/socket/client/Manager.java;Manager.close( );3;2;13
src/main/java/io/socket/client/Manager.java;Manager.destroy( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.isReconnecting( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.maybeReconnectOnOpen( );4;4;5
src/main/java/io/socket/client/Manager.java;Manager.onclose( String reason );3;2;10
src/main/java/io/socket/client/Manager.java;Manager.ondecoded( Packet packet );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.onerror( Exception err );1;0;4
src/main/java/io/socket/client/Manager.java;Manager.onopen( );4;0;40
src/main/java/io/socket/client/Manager.java;Manager.onreconnect( );1;0;6
src/main/java/io/socket/client/Manager.java;Manager.open( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.open( final OpenCallback fn );11;0;82
src/main/java/io/socket/client/Manager.java;Manager.packet( Packet packet );6;1;25
src/main/java/io/socket/client/Manager.java;Manager.processPacketQueue( );3;3;6
src/main/java/io/socket/client/Manager.java;Manager.randomizationFactor( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.randomizationFactor( double v );2;1;7
src/main/java/io/socket/client/Manager.java;Manager.reconnect( );7;2;50
src/main/java/io/socket/client/Manager.java;Manager.reconnection( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.reconnection( boolean v );1;0;4
src/main/java/io/socket/client/Manager.java;Manager.reconnectionAttempts( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.reconnectionAttempts( int v );1;0;4
src/main/java/io/socket/client/Manager.java;Manager.reconnectionDelay( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.reconnectionDelay( long v );2;1;7
src/main/java/io/socket/client/Manager.java;Manager.reconnectionDelayMax( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.reconnectionDelayMax( long v );2;1;7
src/main/java/io/socket/client/Manager.java;Manager.run( );1;5;6
src/main/java/io/socket/client/Manager.java;Manager.socket( String nsp );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.socket( final String nsp , Options opts );2;1;10
src/main/java/io/socket/client/Manager.java;Manager.timeout( );1;0;3
src/main/java/io/socket/client/Manager.java;Manager.timeout( long v );1;0;4
src/main/java/io/socket/client/On.java;On.On( );1;0;1
src/main/java/io/socket/client/On.java;On.destroy( );1;0;3
src/main/java/io/socket/client/On.java;On.on( final Emitter obj , final String ev , final Emitter . Listener fn );1;0;9
src/main/java/io/socket/client/Socket.java;Socket.Socket( Manager io , String nsp , Manager . Options opts );2;1;7
src/main/java/io/socket/client/Socket.java;Socket.ack( final int id );5;0;26
src/main/java/io/socket/client/Socket.java;Socket.call( Object ... args );1;2;3
src/main/java/io/socket/client/Socket.java;Socket.call( final Object ... args );5;0;19
src/main/java/io/socket/client/Socket.java;Socket.close( );4;0;18
src/main/java/io/socket/client/Socket.java;Socket.connect( );1;0;3
src/main/java/io/socket/client/Socket.java;Socket.connected( );1;0;3
src/main/java/io/socket/client/Socket.java;Socket.destroy( );5;1;14
src/main/java/io/socket/client/Socket.java;Socket.disconnect( );1;0;3
src/main/java/io/socket/client/Socket.java;Socket.emit( final String event , final Object ... args );5;0;25
src/main/java/io/socket/client/Socket.java;Socket.emit( final String event , final Object [ ] args , final Ack ack );8;0;43
src/main/java/io/socket/client/Socket.java;Socket.emitBuffered( );3;2;13
src/main/java/io/socket/client/Socket.java;Socket.id( );1;0;3
src/main/java/io/socket/client/Socket.java;Socket.io( );1;0;3
src/main/java/io/socket/client/Socket.java;Socket.isActive( );1;1;3
src/main/java/io/socket/client/Socket.java;Socket.offAnyIncoming( );1;0;4
src/main/java/io/socket/client/Socket.java;Socket.offAnyIncoming( Listener fn );3;1;11
src/main/java/io/socket/client/Socket.java;Socket.offAnyOutgoing( );1;0;4
src/main/java/io/socket/client/Socket.java;Socket.offAnyOutgoing( Listener fn );3;1;11
src/main/java/io/socket/client/Socket.java;Socket.onAnyIncoming( Listener fn );1;0;4
src/main/java/io/socket/client/Socket.java;Socket.onAnyOutgoing( Listener fn );1;0;4
src/main/java/io/socket/client/Socket.java;Socket.onack( Packet < JSONArray > packet );4;1;13
src/main/java/io/socket/client/Socket.java;Socket.onclose( String reason );2;0;8
src/main/java/io/socket/client/Socket.java;Socket.onconnect( String id );1;0;6
src/main/java/io/socket/client/Socket.java;Socket.ondisconnect( );2;0;7
src/main/java/io/socket/client/Socket.java;Socket.onevent( Packet < JSONArray > packet );7;2;23
src/main/java/io/socket/client/Socket.java;Socket.onopen( );2;1;8
src/main/java/io/socket/client/Socket.java;Socket.onpacket( Packet < ? > packet );12;2;47
src/main/java/io/socket/client/Socket.java;Socket.open( );4;0;12
src/main/java/io/socket/client/Socket.java;Socket.packet( Packet packet );4;2;12
src/main/java/io/socket/client/Socket.java;Socket.run( );4;12;6
src/main/java/io/socket/client/Socket.java;Socket.send( final Object ... args );1;0;9
src/main/java/io/socket/client/Socket.java;Socket.subEvents( );5;1;32
src/main/java/io/socket/client/Socket.java;Socket.toArray( JSONArray array );4;2;15
src/main/java/io/socket/client/SocketIOException.java;SocketIOException.SocketIOException( );1;0;3
src/main/java/io/socket/client/SocketIOException.java;SocketIOException.SocketIOException( String message );1;0;3
src/main/java/io/socket/client/SocketIOException.java;SocketIOException.SocketIOException( String message , Throwable cause );1;0;3
src/main/java/io/socket/client/SocketIOException.java;SocketIOException.SocketIOException( Throwable cause );1;0;3
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.SocketOptionBuilder( );1;0;3
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.SocketOptionBuilder( IO . Options options );2;1;24
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.build( );1;0;3
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.builder( );1;0;3
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.builder( IO . Options options );1;0;3
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setAuth( Map < String , String > auth );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setExtraHeaders( Map < String , List < String > > extraHeaders );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setForceNew( boolean forceNew );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setHost( String host );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setHostname( String hostname );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setMultiplex( boolean multiplex );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setPath( String path );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setPolicyPort( int policyPort );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setPort( int port );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setQuery( String query );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setRandomizationFactor( double randomizationFactor );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setReconnection( boolean reconnection );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setReconnectionAttempts( int reconnectionAttempts );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setReconnectionDelay( long reconnectionDelay );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setReconnectionDelayMax( long reconnectionDelayMax );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setRememberUpgrade( boolean rememberUpgrade );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setSecure( boolean secure );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setTimeout( long timeout );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setTransports( String [ ] transports );1;0;4
src/main/java/io/socket/client/SocketOptionBuilder.java;SocketOptionBuilder.setUpgrade( boolean upgrade );1;0;4
src/main/java/io/socket/client/Url.java;ParsedURI.ParsedURI( URI uri , String id );1;0;4
src/main/java/io/socket/client/Url.java;Url.Url( );1;0;1
src/main/java/io/socket/client/Url.java;Url.extractHostFromAuthorityPart( String authority );3;2;10
src/main/java/io/socket/client/Url.java;Url.parse( URI uri );15;24;34
src/main/java/io/socket/hasbinary/HasBinary.java;HasBinary.HasBinary( );1;0;1
src/main/java/io/socket/hasbinary/HasBinary.java;HasBinary._hasBinary( Object obj );12;3;39
src/main/java/io/socket/hasbinary/HasBinary.java;HasBinary.hasBinary( Object data );1;0;3
src/main/java/io/socket/parser/Binary.java;Binary._deconstructPacket( Object data , List < byte [ ] > buffers );11;3;43
src/main/java/io/socket/parser/Binary.java;Binary._reconstructPacket( Object data , byte [ ] [ ] buffers );11;6;33
src/main/java/io/socket/parser/Binary.java;Binary.deconstructPacket( Packet packet );1;0;9
